date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:16	531634/531634	---M--	200	added ('OK')	application/pdf	etag:%228fb1d9-81cb2-921ffec0%22	http://www.merck.com/product/usa/pi_circulars/i/intron_a/intron_a_5ml_ifu_powder.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/i/intron_a/intron_a_5ml_ifu_powder.pdf	(from http://www.merck.com/product/home.html)
16:09:52	527961/527961	---M--	200	added ('OK')	application/pdf	etag:%228fb1db-80e59-94731680%22	http://www.merck.com/product/usa/pi_circulars/i/intron_a/intron_a_ifu_solution.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/i/intron_a/intron_a_ifu_solution.pdf	(from http://www.merck.com/product/home.html)
16:09:52	221585/221585	---M--	200	added ('OK')	application/pdf	etag:%222b4ae5-36191-4de76740%22	http://www.merck.com/product/usa/pi_circulars/i/isentress/isentress_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/i/isentress/isentress_pi.pdf	(from http://www.merck.com/product/home.html)
16:09:55	18989/18989	---M--	200	added ('OK')	application/pdf	etag:%22b4c826-4a2d-4de76740%22	http://www.merck.com/product/usa/pi_circulars/i/isentress/isentress_ppi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/i/isentress/isentress_ppi.pdf	(from http://www.merck.com/product/home.html)
16:10:09	478329/478329	---M--	200	added ('OK')	application/pdf	etag:%222b4adb-74c79-4de76740%22	http://www.merck.com/product/usa/pi_circulars/i/invanz/invanz_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/i/invanz/invanz_pi.pdf	(from http://www.merck.com/product/home.html)
16:10:25	93795/93795	---M--	200	added ('OK')	application/pdf	etag:%2278f2dc-16e63-63840fc0%22	http://www.merck.com/product/usa/pi_circulars/j/janumet/janumet_mg.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/j/janumet/janumet_mg.pdf	(from http://www.merck.com/product/home.html)
16:10:46	314300/314300	---M--	200	added ('OK')	application/pdf	etag:%22c4c129-4cbbc-63194000%22	http://www.merck.com/product/usa/pi_circulars/j/janumet/janumet_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/j/janumet/janumet_pi.pdf	(from http://www.merck.com/product/home.html)
16:11:02	96968/96968	---M--	200	added ('OK')	application/pdf	etag:%229e7879-17ac8-682a3f40%22	http://www.merck.com/product/usa/pi_circulars/j/janumet_xr/janumet_xr_mg.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/j/janumet_xr/janumet_xr_mg.pdf	(from http://www.merck.com/product/home.html)
16:11:26	380284/380284	---M--	200	added ('OK')	application/pdf	etag:%229ff2cd-5cd7c-67ceb1c0%22	http://www.merck.com/product/usa/pi_circulars/j/janumet_xr/janumet_xr_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/j/janumet_xr/janumet_xr_pi.pdf	(from http://www.merck.com/product/home.html)
16:11:41	87819/87819	---M--	200	added ('OK')	application/pdf	etag:%221734e0-1570b-566720c0%22	http://www.merck.com/product/usa/pi_circulars/j/januvia/januvia_mg.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/j/januvia/januvia_mg.pdf	(from http://www.merck.com/product/home.html)
